Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
12/20/2020,02/01/2020,12/19/2020,HI,Renal failure,Renal failure,N17-N19,85+,10,11,
12/20/2020,02/01/2020,12/19/2020,HI,Renal failure,Renal failure,N17-N19,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,Renal failure,Renal failure,N17-N19,All Ages,41,43,
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,11,19,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,16,22,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,37,57,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,17,26,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,25,34,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,104,155,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,45-54,19,19,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,55-64,52,52,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,65-74,77,77,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,75-84,72,72,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,85+,94,94,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,HI,COVID-19,COVID-19,U071,All Ages,325,325,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,14,14,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,31,33,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,94,99,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,112,114,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,127,128,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,383,393,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,28,28,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,48,52,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,50,50,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,135,139,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,12,12,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,35,35,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,42,42,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,13,13,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,108,108,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,55-64,35,35,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,65-74,90,92,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,75-84,144,158,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,85+,150,153,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory failure,J96,All Ages,425,445,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,35-44,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,55-64,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Respiratory arrest,R09.2,All Ages,20,20,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,17,17,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,14,14,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,46,46,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,40,41,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,53,54,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,85+,72,72,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,181,183,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,17,17,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,39,43,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,85+,34,37,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,99,108,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,65-74,11,11,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,75-84,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,85+,10,10,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrest,I46,All Ages,40,40,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,11,11,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,27,30,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,31,33,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,76,81,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,35-44,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,65-74,17,17,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,75-84,31,31,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,85+,56,56,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Heart failure,I50,All Ages,107,107,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,15,16,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,23,23,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,25,27,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,70,73,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,14,15,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,25,28,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,22,22,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,69,73,
12/20/2020,02/01/2020,12/19/2020,ID,Sepsis,Sepsis,A40-A41,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,ID,Sepsis,Sepsis,A40-A41,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/20/2020,02/01/2020,12/19/2020,ID,Sepsis,Sepsis,A40-A41,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
